Tipe_Proyek,Lokasi,Luas_Bangunan,Luas_Tanah,Jumlah_Lantai,Target_Vol_Pondasi,Target_Vol_Dinding,Target_Vol_Keramik,Target_Vol_Atap,Target_Vol_Beton
Rumah Tinggal,Jakarta,253,329,1,58.16,611.79,257.98,309.81,51.42
Rumah Tinggal,Bandung,238,423,1,56.99,494.66,226.93,281.55,50.5
Gudang,Surabaya,1718,3019,1,703.77,433.4,1494.49,2408.02,424.9
Rumah Tinggal,Makassar,50,94,1,12.14,230.55,44.28,66.26,11.61
Rumah Tinggal,Surabaya,116,146,2,14.35,527.11,118.73,81.12,21.08
Masjid,Jakarta,498,735,1,121.82,373.77,504.56,692.63,72.05
Masjid,Surabaya,741,1227,1,189.2,466.91,679.87,900.14,163.75
Rumah Tinggal,Makassar,158,259,1,37.92,415.51,158.46,186.27,30.52
Rumah Tinggal,Bandung,133,263,2,15.06,625.56,130.08,100.99,27.65
Gudang,Surabaya,1082,1622,1,416.71,382.66,938.43,1532.77,278.01
Sekolah,Makassar,977,1691,3,74.45,1467.32,863.31,500.89,218.94
Gudang,Medan,1194,2112,1,470.73,418.56,1193.88,1575.04,294.2
Sekolah,Medan,636,1228,1,168.1,655.19,635.34,817.42,156.8
Sekolah,Jakarta,888,1686,1,226.25,788.75,848.9,1163.1,185.94
Masjid,Jakarta,131,200,1,33.86,208.51,117.32,180.73,28.0
Gudang,Surabaya,609,1150,1,241.82,285.04,632.83,861.79,134.64
Masjid,Bandung,994,1952,2,126.06,706.2,855.93,750.79,168.97
Sekolah,Makassar,446,558,3,37.41,1108.71,465.76,207.68,80.71
Rumah Tinggal,Makassar,172,306,2,22.18,584.32,156.26,113.07,27.84
Sekolah,Bandung,1458,1867,2,197.73,1567.83,1439.18,1015.2,295.45
Rumah Tinggal,Jakarta,260,497,2,34.2,752.21,242.53,169.19,68.39
Rumah Tinggal,Jakarta,80,105,1,18.6,282.71,75.78,111.51,16.04
Masjid,Bandung,115,210,1,26.12,185.47,110.08,155.83,20.93
Rumah Tinggal,Jakarta,212,326,1,57.96,468.12,202.96,249.98,47.07
Sekolah,Medan,480,818,2,54.99,787.47,424.24,328.64,85.69
Sekolah,Surabaya,1021,1254,2,131.97,1165.71,948.94,657.58,204.18
Sekolah,Medan,318,446,2,38.22,641.15,280.99,221.14,50.64
Gudang,Medan,1988,3247,1,786.36,546.33,2039.98,2336.84,426.18
Gudang,Makassar,644,951,1,229.14,258.14,644.5,767.75,123.9
Rumah Tinggal,Surabaya,298,522,1,72.4,646.83,268.53,368.69,53.14
Gudang,Medan,607,915,1,214.48,254.23,632.13,817.92,133.97
Gudang,Makassar,807,1100,1,323.92,338.45,807.65,975.41,132.64
Rumah Tinggal,Jakarta,76,138,1,19.13,318.45,78.42,104.11,12.94
Masjid,Surabaya,377,561,1,99.49,338.03,382.87,488.83,87.83
Gudang,Makassar,1969,3503,1,694.01,504.0,1818.09,2455.8,322.96
Gudang,Makassar,1564,2914,1,565.98,423.41,1532.53,1948.15,350.76
Gudang,Makassar,108,179,1,40.55,122.81,98.21,148.13,17.79
Gudang,Medan,1029,1935,1,360.3,360.58,890.03,1314.2,261.46
Gudang,Jakarta,1777,3479,1,675.37,509.18,1632.49,2451.41,269.39
Gudang,Jakarta,1361,1790,1,469.3,419.19,1281.76,1728.43,326.43
Masjid,Makassar,714,931,1,183.66,464.45,730.46,890.8,176.78
Rumah Tinggal,Medan,248,449,2,33.16,703.1,254.62,185.28,66.63
Gudang,Jakarta,1903,2603,1,691.79,469.08,1866.34,2271.25,298.97
Gudang,Surabaya,106,146,1,43.13,111.44,99.94,146.3,18.24
Gudang,Medan,956,1353,1,348.78,325.72,855.26,1172.27,141.05
Rumah Tinggal,Medan,132,224,2,16.93,587.77,127.95,85.13,27.37
Masjid,Bandung,372,518,1,93.03,301.43,369.36,487.41,67.05
Rumah Tinggal,Medan,42,67,1,10.32,214.24,37.38,51.15,7.61
Gudang,Bandung,587,739,1,217.06,246.79,524.21,827.46,119.83
Masjid,Surabaya,746,1098,1,204.6,500.36,710.46,924.22,165.69
Rumah Tinggal,Bandung,185,299,2,21.48,723.89,161.42,117.79,44.16
Masjid,Jakarta,120,210,1,29.89,177.97,120.56,167.62,28.95
Rumah Tinggal,Bandung,158,207,2,17.94,579.63,158.36,107.04,34.68
Sekolah,Bandung,412,536,2,47.06,750.07,429.15,267.77,71.9
Gudang,Jakarta,1074,1418,1,434.18,342.65,998.16,1508.2,267.02
Gudang,Medan,1310,1894,1,451.7,399.92,1128.02,1535.02,283.2
Rumah Tinggal,Medan,59,75,1,13.29,269.78,58.75,80.58,11.7
Masjid,Medan,186,298,2,23.06,344.09,164.71,135.2,35.68
Sekolah,Bandung,648,935,1,162.43,715.58,644.79,912.43,104.57
Gudang,Bandung,726,942,1,279.42,283.46,721.31,1004.2,123.52
Gudang,Jakarta,601,886,1,202.93,296.91,601.04,804.42,100.02
Masjid,Medan,157,252,2,19.96,287.67,162.89,99.82,36.47
Gudang,Jakarta,1878,3260,1,661.06,480.04,1656.95,2496.12,365.11
Gudang,Jakarta,698,1187,1,274.69,292.58,722.09,878.76,117.48
Gudang,Jakarta,456,823,1,154.3,245.62,443.68,571.63,68.73
Masjid,Makassar,925,1400,2,107.91,718.57,852.34,704.04,189.14
Masjid,Makassar,378,726,1,100.62,322.92,363.35,448.71,78.21
Sekolah,Bandung,1331,2343,1,307.67,992.42,1193.68,1775.26,203.62
Gudang,Makassar,1532,1989,1,547.84,478.55,1391.15,2040.52,359.95
Rumah Tinggal,Surabaya,155,285,2,21.05,627.16,133.26,114.84,26.36
Masjid,Surabaya,335,487,2,41.02,397.06,308.33,224.36,60.45
Masjid,Makassar,697,947,2,92.12,641.89,725.09,520.27,131.57
Rumah Tinggal,Makassar,99,129,2,12.79,482.22,94.07,70.88,16.7
Gudang,Makassar,340,462,1,139.79,210.36,292.58,441.15,51.5
Gudang,Jakarta,799,1167,1,287.42,307.52,784.06,1113.3,162.63
Gudang,Makassar,1143,2148,1,455.47,359.44,1145.81,1375.81,243.63
Gudang,Bandung,1715,3032,1,688.82,492.16,1639.81,2298.82,343.38
Sekolah,Bandung,972,1581,3,80.61,1575.63,1009.64,483.54,168.69
Rumah Tinggal,Bandung,230,341,2,25.98,688.04,207.38,153.2,47.86
Rumah Tinggal,Surabaya,138,173,1,33.69,442.7,121.27,185.23,27.18
Rumah Tinggal,Surabaya,94,132,1,25.57,308.21,87.58,111.83,23.12
Gudang,Makassar,655,970,1,258.76,297.42,652.46,925.09,112.99
Sekolah,Surabaya,638,1125,2,77.61,1000.23,666.0,481.91,153.63
Gudang,Jakarta,344,507,1,135.58,192.42,355.15,469.18,76.7
Gudang,Bandung,1044,1410,1,377.37,389.23,893.02,1247.55,225.45
Sekolah,Jakarta,664,1094,1,172.15,657.3,659.84,915.33,120.94
Gudang,Makassar,891,1087,1,334.61,314.52,814.32,1258.11,173.55
Rumah Tinggal,Surabaya,232,408,1,59.49,582.33,221.72,276.8,55.04
Masjid,Bandung,108,160,1,25.45,182.85,110.09,138.98,16.84
Rumah Tinggal,Makassar,220,295,2,28.05,671.15,212.43,152.02,42.7
Gudang,Jakarta,1395,2741,1,475.18,411.58,1357.3,1846.36,225.13
Masjid,Bandung,865,1178,1,200.94,482.78,886.66,1056.5,136.55
Masjid,Jakarta,116,199,1,29.09,186.53,116.73,160.49,18.4
Sekolah,Surabaya,435,529,1,115.16,603.96,451.11,567.37,63.78
Rumah Tinggal,Surabaya,185,361,2,21.4,624.44,166.48,134.9,31.41
Sekolah,Surabaya,753,1466,1,193.59,698.2,683.55,1031.16,196.76
Sekolah,Jakarta,1161,2172,3,102.12,1642.39,1060.57,490.81,183.32
Gudang,Bandung,1517,1851,1,542.24,440.21,1437.17,1883.56,325.21
Gudang,Makassar,1109,1580,1,381.79,352.51,967.76,1535.76,183.15
Rumah Tinggal,Makassar,84,108,2,10.62,430.31,81.75,61.47,19.41
Rumah Tinggal,Bandung,45,67,2,5.23,299.03,46.52,28.45,7.84
Sekolah,Surabaya,663,1226,3,60.42,1320.12,625.64,298.4,126.76
Gudang,Surabaya,323,561,1,110.89,216.24,327.0,386.69,45.21
Sekolah,Surabaya,784,1017,3,66.0,1284.22,726.14,400.94,170.91
Masjid,Makassar,811,1515,2,92.97,611.22,708.66,523.33,164.04
Masjid,Jakarta,648,1247,2,84.7,623.14,644.14,429.92,108.41
Sekolah,Medan,389,767,2,44.55,751.97,339.25,271.68,73.82
Rumah Tinggal,Makassar,201,274,2,26.25,660.26,175.6,139.83,33.37
Rumah Tinggal,Makassar,240,442,2,31.81,784.15,230.54,158.65,35.68
Rumah Tinggal,Medan,281,469,2,34.38,895.1,268.69,206.03,54.03
Sekolah,Makassar,1054,2002,1,262.18,879.1,1061.78,1387.26,191.82
Sekolah,Medan,1354,2625,3,115.22,1757.07,1178.74,664.48,221.28
Rumah Tinggal,Jakarta,258,371,2,34.09,735.59,236.74,174.15,62.54
Sekolah,Medan,1403,1961,3,107.64,1986.82,1209.44,625.8,276.31
Rumah Tinggal,Jakarta,43,85,2,4.97,340.81,39.24,31.93,7.65
Sekolah,Surabaya,1268,1934,2,143.64,1494.33,1284.68,874.77,301.83
Gudang,Medan,1471,2440,1,577.31,414.53,1446.13,1776.27,267.55
Masjid,Jakarta,716,1106,1,167.88,443.09,697.91,1002.51,142.2
Masjid,Medan,603,776,1,138.69,432.52,611.28,837.3,124.7
Masjid,Medan,144,261,2,18.36,288.85,146.57,105.51,23.09
Masjid,Bandung,116,187,1,27.89,176.72,114.44,158.51,17.61
Rumah Tinggal,Makassar,237,287,2,29.69,716.04,243.26,178.14,46.67
Sekolah,Bandung,687,1162,3,62.76,1308.05,705.59,344.08,124.86
Sekolah,Makassar,847,1475,1,196.27,793.49,822.42,1023.64,138.57
Rumah Tinggal,Surabaya,111,212,1,29.74,404.14,115.35,143.53,17.97
Rumah Tinggal,Bandung,84,152,2,9.69,408.93,72.96,55.06,18.42
Masjid,Makassar,329,515,1,81.34,327.41,316.77,453.17,75.72
Rumah Tinggal,Bandung,234,387,2,28.28,725.84,212.08,169.53,58.9
Masjid,Surabaya,478,878,2,54.01,517.99,490.83,335.44,70.25
Rumah Tinggal,Bandung,204,266,1,55.41,454.51,198.16,257.98,48.02
Masjid,Medan,555,718,2,71.11,605.69,534.05,355.01,131.4
Sekolah,Makassar,314,558,1,86.1,543.33,276.53,421.75,55.18
Masjid,Bandung,413,785,1,108.5,315.4,387.86,585.38,100.17
Masjid,Medan,229,449,1,60.78,264.58,234.97,314.16,34.71
Rumah Tinggal,Bandung,179,258,1,49.16,486.31,155.89,235.2,39.24
Sekolah,Surabaya,1353,1696,1,319.77,1083.4,1325.98,1744.17,255.42
Sekolah,Bandung,945,1720,1,237.79,938.47,859.21,1280.93,153.18
Masjid,Bandung,547,851,1,149.26,407.46,502.17,640.52,101.51
Masjid,Makassar,764,1340,1,173.65,505.87,718.87,1024.51,174.85
Gudang,Makassar,1457,1803,1,594.62,409.57,1374.75,1893.81,297.45
Masjid,Bandung,416,604,1,102.02,359.59,379.2,490.63,91.16
Masjid,Jakarta,196,353,2,26.24,302.3,169.53,133.97,36.54
Masjid,Bandung,405,559,1,109.26,355.95,353.09,537.07,61.17
Sekolah,Medan,1080,1449,1,260.49,923.98,924.49,1524.08,217.81
Sekolah,Jakarta,1112,1346,2,131.43,1323.66,951.21,723.33,217.8
Masjid,Medan,211,405,2,27.44,359.59,182.19,151.85,52.5
