kode,kategori,item,koef,harga,subtotal
L.163,A. Tenaga,Mandor,0.031,220000,6820
L.164,A. Tenaga,Pekerja,0.519,120000,62280
L.164,A. Tenaga,Mandor,0.03,220000,6600
L.165,A. Tenaga,Pekerja,0.486,120000,58320
L.165,A. Tenaga,Mandor,0.029,220000,6380
L.166,A. Tenaga,Pekerja,0.493,120000,59160
L.166,A. Tenaga,Mandor,0.031,220000,6820
L.167,A. Tenaga,Pekerja,0.522,120000,62640
L.167,A. Tenaga,Mandor,0.03,220000,6600
L.168,A. Tenaga,Pekerja,0.5,120000,60000
L.168,A. Tenaga,Mandor,0.03,220000,6600
L.169,A. Tenaga,Pekerja,0.507,120000,60840
L.169,A. Tenaga,Mandor,0.031,220000,6820
L.170,A. Tenaga,Pekerja,0.48,120000,57600
L.170,A. Tenaga,Mandor,0.03,220000,6600
L.170,B. Bahan,Bata Merah,294.326,1200,353191
L.170,B. Bahan,Semen PC,48.628,75000,3647100
L.170,B. Bahan,Pasir Pasang,0.963,320000,308160
L.171,A. Tenaga,Pekerja,0.516,120000,61920
L.171,A. Tenaga,Mandor,0.03,220000,6600
L.172,A. Tenaga,Pekerja,0.476,120000,57120
L.172,A. Tenaga,Mandor,0.031,220000,6820
L.173,A. Tenaga,Pekerja,0.5,120000,60000
L.173,A. Tenaga,Mandor,0.029,220000,6380
L.174,A. Tenaga,Pekerja,0.498,120000,59760
L.174,A. Tenaga,Mandor,0.03,220000,6600
L.175,A. Tenaga,Pekerja,0.487,120000,58440
L.175,A. Tenaga,Mandor,0.029,220000,6380
L.176,A. Tenaga,Pekerja,0.482,120000,57840
L.176,A. Tenaga,Mandor,0.029,220000,6380
M.177,A. Tenaga,Pekerja,0.524,120000,62880
M.177,A. Tenaga,Mandor,0.03,220000,6600
M.177,B. Bahan,Kabel NYM 2x1.5,12.17,12000,146040
M.177,B. Bahan,Pipa Conduit,2.919,10000,29190
M.177,B. Bahan,Lampu LED,0.967,45000,43515
M.178,A. Tenaga,Pekerja,0.488,120000,58560
M.178,A. Tenaga,Mandor,0.03,220000,6600
M.179,A. Tenaga,Pekerja,0.515,120000,61800
M.179,A. Tenaga,Mandor,0.03,220000,6600
M.179,B. Bahan,Saklar,0.997,30000,29910
M.180,A. Tenaga,Pekerja,0.514,120000,61680
M.180,A. Tenaga,Mandor,0.029,220000,6380
M.180,B. Bahan,Saklar,1.001,30000,30029
M.181,A. Tenaga,Pekerja,0.497,120000,59640
M.181,A. Tenaga,Mandor,0.029,220000,6380
M.182,A. Tenaga,Pekerja,0.511,120000,61320
M.182,A. Tenaga,Mandor,0.031,220000,6820
M.183,A. Tenaga,Pekerja,0.476,120000,57120
M.183,A. Tenaga,Mandor,0.03,220000,6600
M.183,B. Bahan,Lampu LED,0.956,45000,43020
M.184,A. Tenaga,Pekerja,0.518,120000,62160
M.184,A. Tenaga,Mandor,0.029,220000,6380
M.184,B. Bahan,Lampu LED,0.975,45000,43875
M.185,A. Tenaga,Pekerja,0.492,120000,59040
M.185,A. Tenaga,Mandor,0.03,220000,6600
M.185,B. Bahan,Lampu LED,1.006,45000,45270
M.186,A. Tenaga,Pekerja,0.479,120000,57480
M.186,A. Tenaga,Mandor,0.031,220000,6820
M.186,B. Bahan,Lampu LED,1.049,45000,47205
M.187,A. Tenaga,Pekerja,0.513,120000,61560
M.187,A. Tenaga,Mandor,0.029,220000,6380
M.187,B. Bahan,Lampu LED,1.015,45000,45674
M.188,A. Tenaga,Pekerja,0.515,120000,61800
M.188,A. Tenaga,Mandor,0.03,220000,6600
M.189,A. Tenaga,Pekerja,0.507,120000,60840
M.189,A. Tenaga,Mandor,0.029,220000,6380
M.190,A. Tenaga,Pekerja,0.494,120000,59280
M.190,A. Tenaga,Mandor,0.029,220000,6380
M.191,A. Tenaga,Pekerja,0.509,120000,61080
M.191,A. Tenaga,Mandor,0.03,220000,6600
M.192,A. Tenaga,Pekerja,0.505,120000,60600
M.192,A. Tenaga,Mandor,0.031,220000,6820
M.193,A. Tenaga,Pekerja,0.522,120000,62640
M.193,A. Tenaga,Mandor,0.03,220000,6600
M.194,A. Tenaga,Pekerja,0.504,120000,60480
M.194,A. Tenaga,Mandor,0.031,220000,6820
M.195,A. Tenaga,Pekerja,0.518,120000,62160
M.195,A. Tenaga,Mandor,0.03,220000,6600
N.196,A. Tenaga,Pekerja,0.51,120000,61200
N.196,A. Tenaga,Tukang Besi,0.493,155000,76415
N.196,A. Tenaga,Kepala Tukang,0.048,180000,8640
N.197,A. Tenaga,Pekerja,0.394,120000,47280
N.197,A. Tenaga,Tukang Las,0.478,160000,76480
N.198,A. Tenaga,Pekerja,0.486,120000,58320
N.198,A. Tenaga,Mandor,0.031,220000,6820
N.199,A. Tenaga,Pekerja,0.515,120000,61800
N.199,A. Tenaga,Mandor,0.029,220000,6380
